001  00001 |Loss: 2.495 | Acc: 11.719% 
001  00002 |Loss: 2.472 | Acc: 12.891% 
001  00003 |Loss: 2.455 | Acc: 14.583% 
001  00004 |Loss: 2.507 | Acc: 14.062% 
001  00005 |Loss: 2.480 | Acc: 14.219% 
001  00006 |Loss: 2.478 | Acc: 15.104% 
001  00007 |Loss: 2.453 | Acc: 15.625% 
001  00008 |Loss: 2.430 | Acc: 16.406% 
001  00009 |Loss: 2.445 | Acc: 16.927% 
001  00010 |Loss: 2.447 | Acc: 17.734% 
001  00011 |Loss: 2.438 | Acc: 17.614% 
001  00012 |Loss: 2.430 | Acc: 17.904% 
001  00013 |Loss: 2.432 | Acc: 17.728% 
001  00014 |Loss: 2.418 | Acc: 17.969% 
001  00015 |Loss: 2.400 | Acc: 18.229% 
001  00016 |Loss: 2.392 | Acc: 18.652% 
001  00017 |Loss: 2.385 | Acc: 18.934% 
001  00018 |Loss: 2.394 | Acc: 19.010% 
001  00019 |Loss: 2.383 | Acc: 19.285% 
001  00020 |Loss: 2.372 | Acc: 19.492% 
001  00021 |Loss: 2.382 | Acc: 19.234% 
001  00022 |Loss: 2.387 | Acc: 19.176% 
001  00023 |Loss: 2.383 | Acc: 19.395% 
001  00024 |Loss: 2.375 | Acc: 19.401% 
001  00025 |Loss: 2.370 | Acc: 19.438% 
001  00026 |Loss: 2.357 | Acc: 19.892% 
001  00027 |Loss: 2.343 | Acc: 20.312% 
001  00028 |Loss: 2.337 | Acc: 20.508% 
001  00029 |Loss: 2.327 | Acc: 20.717% 
001  00030 |Loss: 2.323 | Acc: 20.755% 
001  00031 |Loss: 2.318 | Acc: 20.892% 
001  00032 |Loss: 2.305 | Acc: 21.167% 
001  00033 |Loss: 2.297 | Acc: 21.259% 
001  00034 |Loss: 2.290 | Acc: 21.530% 
001  00035 |Loss: 2.282 | Acc: 21.696% 
001  00036 |Loss: 2.275 | Acc: 21.832% 
001  00037 |Loss: 2.276 | Acc: 21.748% 
001  00038 |Loss: 2.275 | Acc: 21.854% 
001  00039 |Loss: 2.268 | Acc: 22.055% 
001  00040 |Loss: 2.265 | Acc: 22.051% 
001  00041 |Loss: 2.261 | Acc: 22.104% 
001  00042 |Loss: 2.256 | Acc: 22.284% 
001  00043 |Loss: 2.264 | Acc: 22.329% 
001  00044 |Loss: 2.257 | Acc: 22.514% 
001  00045 |Loss: 2.253 | Acc: 22.552% 
001  00046 |Loss: 2.252 | Acc: 22.639% 
001  00047 |Loss: 2.248 | Acc: 22.640% 
001  00048 |Loss: 2.242 | Acc: 22.738% 
001  00049 |Loss: 2.237 | Acc: 22.927% 
001  00050 |Loss: 2.232 | Acc: 23.062% 
001  00051 |Loss: 2.228 | Acc: 23.361% 
001  00052 |Loss: 2.232 | Acc: 23.453% 
001  00053 |Loss: 2.227 | Acc: 23.526% 
001  00054 |Loss: 2.227 | Acc: 23.611% 
001  00055 |Loss: 2.227 | Acc: 23.537% 
001  00056 |Loss: 2.226 | Acc: 23.465% 
001  00057 |Loss: 2.224 | Acc: 23.506% 
001  00058 |Loss: 2.222 | Acc: 23.518% 
001  00059 |Loss: 2.222 | Acc: 23.504% 
001  00060 |Loss: 2.217 | Acc: 23.568% 
001  00061 |Loss: 2.213 | Acc: 23.578% 
001  00062 |Loss: 2.209 | Acc: 23.627% 
001  00063 |Loss: 2.208 | Acc: 23.586% 
001  00064 |Loss: 2.205 | Acc: 23.596% 
001  00065 |Loss: 2.202 | Acc: 23.714% 
001  00066 |Loss: 2.202 | Acc: 23.710% 
001  00067 |Loss: 2.199 | Acc: 23.776% 
001  00068 |Loss: 2.197 | Acc: 23.771% 
001  00069 |Loss: 2.195 | Acc: 23.755% 
001  00070 |Loss: 2.192 | Acc: 23.839% 
001  00071 |Loss: 2.188 | Acc: 23.955% 
001  00072 |Loss: 2.184 | Acc: 24.056% 
001  00073 |Loss: 2.181 | Acc: 24.229% 
001  00074 |Loss: 2.176 | Acc: 24.388% 
001  00075 |Loss: 2.174 | Acc: 24.396% 
001  00076 |Loss: 2.172 | Acc: 24.465% 
001  00077 |Loss: 2.169 | Acc: 24.513% 
001  00078 |Loss: 2.167 | Acc: 24.549% 
001  00079 |Loss: 2.165 | Acc: 24.595% 
001  00080 |Loss: 2.163 | Acc: 24.600% 
001  00081 |Loss: 2.159 | Acc: 24.682% 
001  00082 |Loss: 2.158 | Acc: 24.676% 
001  00083 |Loss: 2.158 | Acc: 24.708% 
001  00084 |Loss: 2.156 | Acc: 24.786% 
001  00085 |Loss: 2.154 | Acc: 24.798% 
001  00086 |Loss: 2.153 | Acc: 24.827% 
001  00087 |Loss: 2.151 | Acc: 24.874% 
001  00088 |Loss: 2.147 | Acc: 25.018% 
001  00089 |Loss: 2.147 | Acc: 25.044% 
001  00090 |Loss: 2.146 | Acc: 25.087% 
001  00091 |Loss: 2.146 | Acc: 25.103% 
001  00092 |Loss: 2.144 | Acc: 25.119% 
001  00093 |Loss: 2.145 | Acc: 25.160% 
001  00094 |Loss: 2.144 | Acc: 25.191% 
001  00095 |Loss: 2.142 | Acc: 25.230% 
001  00096 |Loss: 2.140 | Acc: 25.293% 
001  00097 |Loss: 2.140 | Acc: 25.298% 
001  00098 |Loss: 2.138 | Acc: 25.415% 
001  00099 |Loss: 2.136 | Acc: 25.489% 
001  00100 |Loss: 2.134 | Acc: 25.562% 
001  00101 |Loss: 2.132 | Acc: 25.588% 
001  00102 |Loss: 2.129 | Acc: 25.651% 
001  00103 |Loss: 2.128 | Acc: 25.652% 
001  00104 |Loss: 2.126 | Acc: 25.661% 
001  00105 |Loss: 2.124 | Acc: 25.707% 
001  00106 |Loss: 2.122 | Acc: 25.737% 
001  00107 |Loss: 2.121 | Acc: 25.862% 
001  00108 |Loss: 2.119 | Acc: 25.904% 
001  00109 |Loss: 2.118 | Acc: 25.910% 
001  00110 |Loss: 2.116 | Acc: 25.923% 
001  00111 |Loss: 2.114 | Acc: 26.014% 
001  00112 |Loss: 2.112 | Acc: 26.046% 
001  00113 |Loss: 2.109 | Acc: 26.099% 
001  00114 |Loss: 2.107 | Acc: 26.172% 
001  00115 |Loss: 2.104 | Acc: 26.270% 
001  00116 |Loss: 2.102 | Acc: 26.320% 
001  00117 |Loss: 2.102 | Acc: 26.322% 
001  00118 |Loss: 2.100 | Acc: 26.377% 
001  00119 |Loss: 2.099 | Acc: 26.359% 
001  00120 |Loss: 2.101 | Acc: 26.348% 
001  00121 |Loss: 2.100 | Acc: 26.356% 
001  00122 |Loss: 2.099 | Acc: 26.409% 
001  00123 |Loss: 2.097 | Acc: 26.505% 
001  00124 |Loss: 2.096 | Acc: 26.569% 
001  00125 |Loss: 2.095 | Acc: 26.594% 
001  00126 |Loss: 2.094 | Acc: 26.625% 
001  00127 |Loss: 2.094 | Acc: 26.661% 
001  00128 |Loss: 2.093 | Acc: 26.721% 
001  00129 |Loss: 2.091 | Acc: 26.726% 
001  00130 |Loss: 2.090 | Acc: 26.743% 
001  00131 |Loss: 2.090 | Acc: 26.747% 
001  00132 |Loss: 2.089 | Acc: 26.776% 
001  00133 |Loss: 2.088 | Acc: 26.803% 
001  00134 |Loss: 2.087 | Acc: 26.848% 
001  00135 |Loss: 2.087 | Acc: 26.858% 
001  00136 |Loss: 2.087 | Acc: 26.815% 
001  00137 |Loss: 2.088 | Acc: 26.739% 
001  00138 |Loss: 2.086 | Acc: 26.761% 
001  00139 |Loss: 2.086 | Acc: 26.742% 
001  00140 |Loss: 2.085 | Acc: 26.735% 
001  00141 |Loss: 2.085 | Acc: 26.751% 
001  00142 |Loss: 2.084 | Acc: 26.805% 
001  00143 |Loss: 2.082 | Acc: 26.879% 
001  00144 |Loss: 2.082 | Acc: 26.893% 
001  00145 |Loss: 2.079 | Acc: 26.983% 
001  00146 |Loss: 2.078 | Acc: 26.991% 
001  00147 |Loss: 2.076 | Acc: 27.009% 
001  00148 |Loss: 2.075 | Acc: 27.127% 
001  00149 |Loss: 2.074 | Acc: 27.139% 
001  00150 |Loss: 2.073 | Acc: 27.156% 
001  00151 |Loss: 2.073 | Acc: 27.168% 
001  00152 |Loss: 2.074 | Acc: 27.169% 
001  00153 |Loss: 2.073 | Acc: 27.231% 
001  00154 |Loss: 2.072 | Acc: 27.252% 
001  00155 |Loss: 2.071 | Acc: 27.303% 
001  00156 |Loss: 2.070 | Acc: 27.319% 
001  00157 |Loss: 2.070 | Acc: 27.314% 
001  00158 |Loss: 2.070 | Acc: 27.304% 
001  00159 |Loss: 2.068 | Acc: 27.378% 
001  00160 |Loss: 2.067 | Acc: 27.451% 
001  00161 |Loss: 2.065 | Acc: 27.455% 
001  00162 |Loss: 2.064 | Acc: 27.508% 
001  00163 |Loss: 2.063 | Acc: 27.559% 
001  00164 |Loss: 2.062 | Acc: 27.606% 
001  00165 |Loss: 2.061 | Acc: 27.623% 
001  00166 |Loss: 2.061 | Acc: 27.640% 
001  00167 |Loss: 2.060 | Acc: 27.671% 
001  00168 |Loss: 2.058 | Acc: 27.758% 
001  00169 |Loss: 2.057 | Acc: 27.778% 
001  00170 |Loss: 2.057 | Acc: 27.831% 
001  00171 |Loss: 2.055 | Acc: 27.887% 
001  00172 |Loss: 2.054 | Acc: 27.893% 
001  00173 |Loss: 2.053 | Acc: 27.899% 
001  00174 |Loss: 2.053 | Acc: 27.927% 
001  00175 |Loss: 2.051 | Acc: 27.964% 
001  00176 |Loss: 2.050 | Acc: 28.041% 
001  00177 |Loss: 2.048 | Acc: 28.112% 
001  00178 |Loss: 2.046 | Acc: 28.178% 
001  00179 |Loss: 2.044 | Acc: 28.273% 
001  00180 |Loss: 2.042 | Acc: 28.316% 
001  00181 |Loss: 2.042 | Acc: 28.332% 
001  00182 |Loss: 2.040 | Acc: 28.404% 
001  00183 |Loss: 2.039 | Acc: 28.471% 
001  00184 |Loss: 2.037 | Acc: 28.511% 
001  00185 |Loss: 2.037 | Acc: 28.492% 
001  00186 |Loss: 2.036 | Acc: 28.511% 
001  00187 |Loss: 2.035 | Acc: 28.539% 
001  00188 |Loss: 2.034 | Acc: 28.570% 
001  00189 |Loss: 2.033 | Acc: 28.633% 
001  00190 |Loss: 2.031 | Acc: 28.647% 
001  00191 |Loss: 2.030 | Acc: 28.710% 
001  00192 |Loss: 2.029 | Acc: 28.743% 
001  00193 |Loss: 2.029 | Acc: 28.765% 
001  00194 |Loss: 2.028 | Acc: 28.781% 
001  00195 |Loss: 2.027 | Acc: 28.818% 
001  00196 |Loss: 2.026 | Acc: 28.838% 
001  00197 |Loss: 2.026 | Acc: 28.855% 
001  00198 |Loss: 2.025 | Acc: 28.887% 
001  00199 |Loss: 2.024 | Acc: 28.883% 
001  00200 |Loss: 2.023 | Acc: 28.898% 
001  00201 |Loss: 2.022 | Acc: 28.918% 
001  00202 |Loss: 2.021 | Acc: 28.964% 
001  00203 |Loss: 2.021 | Acc: 28.983% 
001  00204 |Loss: 2.020 | Acc: 29.006% 
001  00205 |Loss: 2.019 | Acc: 29.059% 
001  00206 |Loss: 2.018 | Acc: 29.073% 
001  00207 |Loss: 2.018 | Acc: 29.069% 
001  00208 |Loss: 2.016 | Acc: 29.109% 
001  00209 |Loss: 2.016 | Acc: 29.112% 
001  00210 |Loss: 2.015 | Acc: 29.148% 
001  00211 |Loss: 2.015 | Acc: 29.188% 
001  00212 |Loss: 2.013 | Acc: 29.212% 
001  00213 |Loss: 2.013 | Acc: 29.229% 
001  00214 |Loss: 2.013 | Acc: 29.235% 
001  00215 |Loss: 2.013 | Acc: 29.215% 
001  00216 |Loss: 2.012 | Acc: 29.246% 
001  00217 |Loss: 2.012 | Acc: 29.234% 
001  00218 |Loss: 2.012 | Acc: 29.232% 
001  00219 |Loss: 2.012 | Acc: 29.259% 
001  00220 |Loss: 2.011 | Acc: 29.268% 
001  00221 |Loss: 2.010 | Acc: 29.306% 
001  00222 |Loss: 2.010 | Acc: 29.322% 
001  00223 |Loss: 2.009 | Acc: 29.330% 
001  00224 |Loss: 2.008 | Acc: 29.346% 
001  00225 |Loss: 2.007 | Acc: 29.378% 
001  00226 |Loss: 2.006 | Acc: 29.404% 
001  00227 |Loss: 2.004 | Acc: 29.433% 
001  00228 |Loss: 2.003 | Acc: 29.475% 
001  00229 |Loss: 2.002 | Acc: 29.507% 
001  00230 |Loss: 2.002 | Acc: 29.521% 
001  00231 |Loss: 2.001 | Acc: 29.542% 
001  00232 |Loss: 2.001 | Acc: 29.546% 
001  00233 |Loss: 2.001 | Acc: 29.570% 
001  00234 |Loss: 2.000 | Acc: 29.591% 
001  00235 |Loss: 2.000 | Acc: 29.604% 
001  00236 |Loss: 1.999 | Acc: 29.618% 
001  00237 |Loss: 1.999 | Acc: 29.618% 
001  00238 |Loss: 1.998 | Acc: 29.632% 
001  00239 |Loss: 1.998 | Acc: 29.635% 
001  00240 |Loss: 1.997 | Acc: 29.665% 
001  00241 |Loss: 1.997 | Acc: 29.658% 
001  00242 |Loss: 1.996 | Acc: 29.700% 
001  00243 |Loss: 1.995 | Acc: 29.713% 
001  00244 |Loss: 1.994 | Acc: 29.742% 
001  00245 |Loss: 1.993 | Acc: 29.758% 
001  00246 |Loss: 1.993 | Acc: 29.780% 
001  00247 |Loss: 1.992 | Acc: 29.798% 
001  00248 |Loss: 1.991 | Acc: 29.823% 
001  00249 |Loss: 1.990 | Acc: 29.857% 
001  00250 |Loss: 1.991 | Acc: 29.866% 
001  00251 |Loss: 1.991 | Acc: 29.874% 
001  00252 |Loss: 1.990 | Acc: 29.886% 
001  00253 |Loss: 1.989 | Acc: 29.928% 
001  00254 |Loss: 1.988 | Acc: 29.946% 
001  00255 |Loss: 1.988 | Acc: 29.969% 
001  00256 |Loss: 1.988 | Acc: 29.974% 
001  00257 |Loss: 1.987 | Acc: 29.995% 
001  00258 |Loss: 1.987 | Acc: 29.993% 
001  00259 |Loss: 1.986 | Acc: 30.028% 
001  00260 |Loss: 1.985 | Acc: 30.039% 
001  00261 |Loss: 1.985 | Acc: 30.047% 
001  00262 |Loss: 1.984 | Acc: 30.084% 
001  00263 |Loss: 1.983 | Acc: 30.130% 
001  00264 |Loss: 1.981 | Acc: 30.161% 
001  00265 |Loss: 1.981 | Acc: 30.186% 
001  00266 |Loss: 1.981 | Acc: 30.196% 
001  00267 |Loss: 1.980 | Acc: 30.238% 
001  00268 |Loss: 1.979 | Acc: 30.253% 
001  00269 |Loss: 1.978 | Acc: 30.294% 
001  00270 |Loss: 1.977 | Acc: 30.350% 
001  00271 |Loss: 1.977 | Acc: 30.362% 
001  00272 |Loss: 1.977 | Acc: 30.362% 
001  00273 |Loss: 1.976 | Acc: 30.377% 
001  00274 |Loss: 1.976 | Acc: 30.412% 
001  00275 |Loss: 1.975 | Acc: 30.435% 
001  00276 |Loss: 1.974 | Acc: 30.497% 
001  00277 |Loss: 1.974 | Acc: 30.491% 
001  00278 |Loss: 1.972 | Acc: 30.522% 
001  00279 |Loss: 1.971 | Acc: 30.550% 
001  00280 |Loss: 1.971 | Acc: 30.555% 
001  00281 |Loss: 1.971 | Acc: 30.583% 
001  00282 |Loss: 1.970 | Acc: 30.585% 
001  00283 |Loss: 1.970 | Acc: 30.604% 
001  00284 |Loss: 1.970 | Acc: 30.626% 
001  00285 |Loss: 1.969 | Acc: 30.641% 
001  00286 |Loss: 1.968 | Acc: 30.644% 
001  00287 |Loss: 1.968 | Acc: 30.665% 
001  00288 |Loss: 1.967 | Acc: 30.672% 
001  00289 |Loss: 1.966 | Acc: 30.717% 
001  00290 |Loss: 1.966 | Acc: 30.730% 
001  00291 |Loss: 1.965 | Acc: 30.735% 
001  00292 |Loss: 1.965 | Acc: 30.771% 
001  00293 |Loss: 1.964 | Acc: 30.794% 
001  00294 |Loss: 1.963 | Acc: 30.827% 
001  00295 |Loss: 1.963 | Acc: 30.855% 
001  00296 |Loss: 1.962 | Acc: 30.878% 
001  00297 |Loss: 1.961 | Acc: 30.895% 
001  00298 |Loss: 1.960 | Acc: 30.904% 
001  00299 |Loss: 1.960 | Acc: 30.931% 
001  00300 |Loss: 1.959 | Acc: 30.938% 
001  00301 |Loss: 1.959 | Acc: 30.959% 
001  00302 |Loss: 1.959 | Acc: 30.965% 
001  00303 |Loss: 1.958 | Acc: 30.984% 
001  00304 |Loss: 1.957 | Acc: 31.024% 
001  00305 |Loss: 1.957 | Acc: 31.019% 
001  00306 |Loss: 1.956 | Acc: 31.038% 
001  00307 |Loss: 1.956 | Acc: 31.044% 
001  00308 |Loss: 1.955 | Acc: 31.078% 
001  00309 |Loss: 1.954 | Acc: 31.086% 
001  00310 |Loss: 1.954 | Acc: 31.114% 
001  00311 |Loss: 1.953 | Acc: 31.144% 
001  00312 |Loss: 1.952 | Acc: 31.162% 
001  00313 |Loss: 1.951 | Acc: 31.165% 
001  00314 |Loss: 1.951 | Acc: 31.190% 
001  00315 |Loss: 1.951 | Acc: 31.193% 
001  00316 |Loss: 1.951 | Acc: 31.193% 
001  00317 |Loss: 1.950 | Acc: 31.213% 
001  00318 |Loss: 1.949 | Acc: 31.250% 
001  00319 |Loss: 1.948 | Acc: 31.267% 
001  00320 |Loss: 1.948 | Acc: 31.279% 
001  00321 |Loss: 1.948 | Acc: 31.291% 
001  00322 |Loss: 1.947 | Acc: 31.313% 
001  00323 |Loss: 1.947 | Acc: 31.327% 
001  00324 |Loss: 1.946 | Acc: 31.359% 
001  00325 |Loss: 1.945 | Acc: 31.380% 
001  00326 |Loss: 1.944 | Acc: 31.375% 
001  00327 |Loss: 1.944 | Acc: 31.401% 
001  00328 |Loss: 1.944 | Acc: 31.405% 
001  00329 |Loss: 1.943 | Acc: 31.423% 
001  00330 |Loss: 1.943 | Acc: 31.449% 
001  00331 |Loss: 1.942 | Acc: 31.465% 
001  00332 |Loss: 1.941 | Acc: 31.476% 
001  00333 |Loss: 1.941 | Acc: 31.506% 
001  00334 |Loss: 1.940 | Acc: 31.528% 
001  00335 |Loss: 1.940 | Acc: 31.542% 
001  00336 |Loss: 1.939 | Acc: 31.548% 
001  00337 |Loss: 1.939 | Acc: 31.554% 
001  00338 |Loss: 1.939 | Acc: 31.564% 
001  00339 |Loss: 1.938 | Acc: 31.589% 
001  00340 |Loss: 1.938 | Acc: 31.595% 
001  00341 |Loss: 1.938 | Acc: 31.594% 
001  00342 |Loss: 1.937 | Acc: 31.634% 
001  00343 |Loss: 1.936 | Acc: 31.642% 
001  00344 |Loss: 1.935 | Acc: 31.663% 
001  00345 |Loss: 1.935 | Acc: 31.673% 
001  00346 |Loss: 1.934 | Acc: 31.697% 
001  00347 |Loss: 1.934 | Acc: 31.721% 
001  00348 |Loss: 1.933 | Acc: 31.766% 
001  00349 |Loss: 1.932 | Acc: 31.789% 
001  00350 |Loss: 1.932 | Acc: 31.830% 
001  00351 |Loss: 1.931 | Acc: 31.853% 
001  00352 |Loss: 1.931 | Acc: 31.880% 
001  00353 |Loss: 1.930 | Acc: 31.883% 
001  00354 |Loss: 1.930 | Acc: 31.901% 
001  00355 |Loss: 1.930 | Acc: 31.910% 
001  00356 |Loss: 1.929 | Acc: 31.932% 
001  00357 |Loss: 1.928 | Acc: 31.970% 
001  00358 |Loss: 1.928 | Acc: 31.983% 
001  00359 |Loss: 1.927 | Acc: 31.994% 
001  00360 |Loss: 1.927 | Acc: 31.999% 
001  00361 |Loss: 1.926 | Acc: 32.031% 
001  00362 |Loss: 1.926 | Acc: 32.055% 
001  00363 |Loss: 1.925 | Acc: 32.094% 
001  00364 |Loss: 1.924 | Acc: 32.109% 
001  00365 |Loss: 1.924 | Acc: 32.121% 
001  00366 |Loss: 1.923 | Acc: 32.129% 
001  00367 |Loss: 1.923 | Acc: 32.153% 
001  00368 |Loss: 1.922 | Acc: 32.182% 
001  00369 |Loss: 1.921 | Acc: 32.201% 
001  00370 |Loss: 1.920 | Acc: 32.221% 
001  00371 |Loss: 1.920 | Acc: 32.219% 
001  00372 |Loss: 1.919 | Acc: 32.252% 
001  00373 |Loss: 1.918 | Acc: 32.276% 
001  00374 |Loss: 1.918 | Acc: 32.311% 
001  00375 |Loss: 1.917 | Acc: 32.321% 
001  00376 |Loss: 1.917 | Acc: 32.349% 
001  00377 |Loss: 1.916 | Acc: 32.367% 
001  00378 |Loss: 1.916 | Acc: 32.366% 
001  00379 |Loss: 1.915 | Acc: 32.415% 
001  00380 |Loss: 1.915 | Acc: 32.414% 
001  00381 |Loss: 1.914 | Acc: 32.450% 
001  00382 |Loss: 1.914 | Acc: 32.467% 
001  00383 |Loss: 1.913 | Acc: 32.484% 
001  00384 |Loss: 1.912 | Acc: 32.511% 
001  00385 |Loss: 1.912 | Acc: 32.537% 
001  00386 |Loss: 1.912 | Acc: 32.562% 
001  00387 |Loss: 1.911 | Acc: 32.580% 
001  00388 |Loss: 1.911 | Acc: 32.603% 
001  00389 |Loss: 1.910 | Acc: 32.628% 
001  00390 |Loss: 1.909 | Acc: 32.648% 
001  00391 |Loss: 1.909 | Acc: 32.667% 
001  00392 |Loss: 1.908 | Acc: 32.703% 
001  00393 |Loss: 1.907 | Acc: 32.733% 
001  00394 |Loss: 1.907 | Acc: 32.743% 
001  00395 |Loss: 1.906 | Acc: 32.759% 
001  00396 |Loss: 1.906 | Acc: 32.791% 
001  00397 |Loss: 1.905 | Acc: 32.812% 
001  00398 |Loss: 1.905 | Acc: 32.828% 
001  00399 |Loss: 1.905 | Acc: 32.854% 
001  00400 |Loss: 1.904 | Acc: 32.869% 
001  00401 |Loss: 1.903 | Acc: 32.900% 
001  00402 |Loss: 1.903 | Acc: 32.925% 
001  00403 |Loss: 1.902 | Acc: 32.944% 
001  00404 |Loss: 1.901 | Acc: 32.971% 
001  00405 |Loss: 1.901 | Acc: 32.986% 
001  00406 |Loss: 1.900 | Acc: 33.016% 
001  00407 |Loss: 1.900 | Acc: 33.037% 
001  00408 |Loss: 1.900 | Acc: 33.048% 
001  00409 |Loss: 1.899 | Acc: 33.072% 
001  00410 |Loss: 1.899 | Acc: 33.093% 
001  00411 |Loss: 1.898 | Acc: 33.111% 
001  00412 |Loss: 1.897 | Acc: 33.122% 
001  00413 |Loss: 1.897 | Acc: 33.159% 
001  00414 |Loss: 1.897 | Acc: 33.158% 
001  00415 |Loss: 1.896 | Acc: 33.161% 
001  00416 |Loss: 1.896 | Acc: 33.181% 
001  00417 |Loss: 1.895 | Acc: 33.213% 
001  00418 |Loss: 1.894 | Acc: 33.255% 
001  00419 |Loss: 1.894 | Acc: 33.258% 
001  00420 |Loss: 1.893 | Acc: 33.266% 
001  00421 |Loss: 1.893 | Acc: 33.288% 
001  00422 |Loss: 1.893 | Acc: 33.294% 
001  00423 |Loss: 1.892 | Acc: 33.317% 
001  00424 |Loss: 1.891 | Acc: 33.347% 
001  00425 |Loss: 1.891 | Acc: 33.373% 
001  00426 |Loss: 1.890 | Acc: 33.394% 
001  00427 |Loss: 1.889 | Acc: 33.414% 
001  00428 |Loss: 1.889 | Acc: 33.444% 
001  00429 |Loss: 1.888 | Acc: 33.463% 
001  00430 |Loss: 1.888 | Acc: 33.489% 
002  00431 |Loss: 1.677 | Acc: 42.969% 
002  00432 |Loss: 1.827 | Acc: 39.844% 
002  00433 |Loss: 1.743 | Acc: 40.365% 
002  00434 |Loss: 1.737 | Acc: 38.086% 
002  00435 |Loss: 1.731 | Acc: 38.906% 
002  00436 |Loss: 1.730 | Acc: 39.714% 
002  00437 |Loss: 1.729 | Acc: 39.732% 
002  00438 |Loss: 1.704 | Acc: 40.918% 
002  00439 |Loss: 1.697 | Acc: 41.146% 
002  00440 |Loss: 1.684 | Acc: 41.797% 
002  00441 |Loss: 1.680 | Acc: 41.619% 
002  00442 |Loss: 1.669 | Acc: 41.992% 
